HOME;AWAY;FTHG;FTAG
Slovakia;Romania;1;1
Ukraine;Belgium;0;0
Czech Republic;Turkey;1;2
Georgia;Portugal;2;0
Ecuador;Jamaica;3;1
Venezuela;Mexico;1;0
Eswatini;Botswana;0;0
South Africa;Mozambique;1;1
Bahrain U19;United Arab Emirates U19;1;3
Iraq U19;Jordan U19;0;0
Lebanon U19;Albania U19;0;2
Syria U19;Palestine U19;4;2
Broadmeadow;Weston Workers;5;0
Thornton Redbacks;Toronto Awaba Stags;0;2
Logan Lightning;Broadbeach Utd.;6;0
New Zealand;Tahiti;5;0
Botafogo RJ;Bragantino;2;1
Cruzeiro;Athletico-PR;2;0
Atletico GO;Gremio;1;1
Corinthians;Cuiaba;1;1
Juventude;Flamengo RJ;2;1
Bahia;Vasco;2;1
Fortaleza;Palmeiras;3;0
Internacional;Atletico-MG;1;2
Mirassol B;Votuporanguense;1;2
D. Concepcion;Dep. Linares;2;3
Rangers;Nublense;1;1
Shanghai Shenhua;Meizhou Hakka;3;0
Changchun Yatai;Shandong Taishan;2;2
Qingdao Hainiu;Chengdu Rongcheng;1;5
Beijing Guoan;Cangzhou;4;0
Tamper;JK Poseidon;4;1
Ocean Kerch;Alushta-Crimea;4;0
Ekenas;HJK;1;0
Hafia;Wakriya;3;1
Kaloum Star;Ashanti GB;2;1
Kamsar;Flamme Olympique;1;1
Renaissance;Milo FC;0;1
Grindavik;Vestmannaeyjar;3;1
Keflavik;Njardvik;1;1
Afturelding;Fjolnir;0;1
Dalvik/Reynir;Thor Akureyri;1;3
Grotta;IR Reykjavik;1;3
Leiknir;Throttur;3;1
Hafnarfjordur W;Tindastoll W;4;1
Vikingur Reykjavik W;Stjarnan W;3;2
Al-Qassim;Al Wasat;2;2
Al Zawraa;Al-Hudod;2;0
Baghdad;Al Quwa Al Jawiya;0;2
Erbil;Al Najaf;1;1
Al Kahraba;Al Talaba;0;3
Avispa Fukuoka;Yokohama F. Marinos;2;1
Cerezo Osaka;Sagan Tosu;1;0
FC Tokyo;Hokkaido Consadole Sapporo;1;0
Iwata;Verdy;3;0
Kashima Antlers;Gamba Osaka;0;0
Kawasaki Frontale;Shonan Bellmare;1;1
Kyoto;Kashiwa Reysol;2;2
Nagoya Grampus;Urawa Reds;0;1
Sanfrecce Hiroshima;Albirex Niigata;1;1
Vissel Kobe;Machida;0;0
V-Varen Nagasaki;Iwaki;3;1
Jelgava;Tukums 2000;0;0
Riga FC;Auda;1;0
RFS;Valmiera;4;1
Hegelmann;Siauliai FA;0;0
Suduva;FK Panevezys;1;3
Banga;Zalgiris;0;2
Dainava Alytus;Dziugas Telsiai;3;1
Kauno Zalgiris;Transinvest;2;0
Ferroviario Maputo;UD Songo;0;1
Aalesund W;LSK Kvinner W;2;1
Arna-Bjornar W;Viking W;2;4
Asane W;Brann W;0;4
Molde W;Rosenborg W;0;4
Roa W;Tromso W;2;1
Stabaek W;Honefoss W;2;1
Lyn W;Bodo/Glimt W;2;1
Lamboi;Kallon;0;1
Luawa;East End Lions;1;2
SLIFA;Bai Bureh Warriors;2;2
Jeju Utd;Incheon;1;0
Jeonbuk;Pohang;1;1
Seoul;Gangwon;2;0
Ulsan HD;Daegu;1;0
Cheonan City;Bucheon FC 1995;1;2
Gimpo FC;Cheongju;1;1
Seoul E-Land;Ansan Greeners;0;3
Skelleftea;Pitea;1;2
IFK Ostersund;Hudiksvall;1;0
Orebro W;Hacken W;0;1
Trelleborg W;Rosengard W;1;9
Panjsher;Istiqlol Dushanbe;0;3
Binah;Gbikinti Bassar;1;0
Dynamic Togolais;Kara;0;2
Entente II;Gbohloe-Su;0;0
Espoir;ASC Kara;0;0
Semassi;Kakadl;0;0
Olympique Beja;Stade Tunisien;1;4
Bizertin;Club Africain;2;1
Detroit;Birmingham;1;2
Rhode Island;El Paso;3;0
Andijan;Navbahor Namangan;3;0
Metallurg Bekabad;Nasaf Qarshi;0;0
Aral;Xorazm Urganch;0;0
Mashal Muborak;Dostlik Tashkent;2;0
Frontera;Urena;6;1
Finland U17;Estonia U17;3;2
Latvia U17;Lithuania U17;2;2
Arda (Bul);Yantra Gabrovo (Bul);2;0
Farul Constanta (Rou);Zimbru Chisinau (Mda);5;3
MTK Budapest (Hun);Ivancsa (Hun);-;-
Samorin (Svk);Petrzalka (Svk);1;1
FK Humenne (Svk);Michalovce (Svk);3;1
FC Dabas (Hun);Budaorsi SC (Hun);3;4
GKS Katowice (Pol);Polonia Bytom (Pol);0;2
Stal Mielec (Pol);R. Rzeszow (Pol);2;2
Termalica B-B. (Pol);Karvina (Cze);0;3
